Year,Rk,Player,Team,GP,W,L,Min,Dist_FT,Dist_Miles,Dist_Miles_off,Dist_Miles_def,avg_speed,avg_speed_off,avg_speed_def
2018,,Kevin Love,CLE,59,37,22,28,10487.1,1.99,1.05,0.94,4.28,4.46,4.09
2018,,Kevin Durant,GSW,68,49,19,34.2,12121.6,2.3,1.21,1.09,4.06,4.55,3.63
2018,,Kentavious Caldwell-Pope,LAL,74,31,43,33.2,12474.7,2.36,1.22,1.14,4.35,4.7,4.04
2018,,Kent Bazemore,ATL,64,19,45,27.5,10803.3,2.05,1.08,0.96,4.49,4.73,4.24
2018,,Kenneth Faried,DEN,32,16,16,14.4,5387.3,1.02,0.55,0.47,4.28,4.52,4.01
2018,,Kendrick Perkins,CLE,1,0,1,14.5,4639,0.88,0.45,0.43,3.73,3.51,3.13
2018,,Kemba Walker,CHA,80,36,44,34.2,12605.6,2.39,1.33,1.06,4.2,4.66,3.74
2018,,Kelly Oubre Jr.,WAS,81,43,38,27.5,10154.4,1.92,1,0.92,4.23,4.39,4.07
2018,,Kelly Olynyk,MIA,75,41,34,23.3,8836.6,1.67,0.91,0.76,4.32,4.64,3.99
2018,,Kay Felder,DET,16,6,10,8.7,3620.3,0.69,0.38,0.31,4.74,5.23,4.18
2018,,Kawhi Leonard,SAS,9,5,4,23.3,9013.4,1.71,0.95,0.76,4.5,4.87,4.05
2018,,Karl-Anthony Towns,MIN,82,47,35,35.6,12726.5,2.41,1.27,1.14,4.07,4.16,3.98
2018,,Kadeem Allen,BOS,18,9,9,6,2288.2,0.43,0.24,0.19,4.38,4.83,3.9
2018,,Jusuf Nurkic,POR,79,48,31,26.4,9804.6,1.86,1.02,0.84,4.25,4.57,3.92
2018,,Justise Winslow,MIA,67,32,35,24.7,9530.1,1.8,0.97,0.84,4.4,4.64,4.16
2018,,Justin Patton,MIN,1,0,1,3.7,1347,0.26,0.12,0.13,4.81,4.57,2.47
2018,,Justin Jackson,SAC,68,21,47,22.1,8620.5,1.63,0.88,0.75,4.47,4.8,4.13
2018,,Justin Holiday,CHI,72,24,48,31.5,12438.6,2.36,1.26,1.09,4.5,4.93,4.1
2018,,Justin Anderson,PHI,37,27,10,13.9,5262.2,1,0.54,0.46,4.31,4.64,3.98
2018,,Julyan Stone,CHA,23,10,13,7.6,2771.7,0.52,0.27,0.25,4.17,4.44,3.91
2018,,Julius Randle,LAL,82,35,47,26.7,9535.1,1.81,0.96,0.85,4.13,4.54,3.75
2018,,Juancho Hernangomez,DEN,25,15,10,11.1,4003.8,0.76,0.4,0.36,4.43,4.65,4.17
2018,,Jrue Holiday,NOP,81,47,34,36.1,13940.4,2.64,1.4,1.24,4.4,4.91,3.93
2018,,Josh Smith,NOP,3,2,1,3.9,1423.7,0.27,0.14,0.13,4.06,4.36,3.8
2018,,Josh Richardson,MIA,80,43,37,33.2,12911.8,2.45,1.33,1.12,4.43,4.72,4.12
2018,,Josh McRoberts,DAL,2,2,0,2.9,1064,0.2,0.12,0.09,4.17,3.8,4.61
2018,,Josh Magette,ATL,18,3,15,12,4616.9,0.87,0.49,0.39,4.51,5.04,4.04
2018,,Josh Jackson,PHX,77,19,58,25.4,10022.3,1.9,1.02,0.88,4.5,4.93,4.1
2018,,Josh Huestis,OKC,68,43,25,14.2,5484.5,1.04,0.52,0.52,4.39,4.47,4.32
2018,,Josh Hart,LAL,63,27,36,23.2,8939.9,1.69,0.87,0.83,4.4,4.71,4.11
2018,,Josh Gray,PHX,5,0,5,17.3,7341,1.39,0.77,0.62,4.88,5.25,4.48
2018,,Jose Calderon,CLE,57,33,24,16,6207.3,1.18,0.62,0.55,4.42,4.65,4.21
2018,,Jordan Mickey,MIA,23,15,8,12.3,4764.7,0.9,0.49,0.41,4.41,4.64,4.16
2018,,Jordan Crawford,NOP,5,3,2,10.7,4129,0.78,0.43,0.35,4.33,4.8,3.85
2018,,Jordan Clarkson,CLE,81,40,41,23.3,9130.5,1.73,0.93,0.8,4.47,4.89,4.07
2018,,Jordan Bell,GSW,57,43,14,14.2,5501.1,1.04,0.54,0.5,4.41,4.65,4.16
2018,,Jonathon Simmons,ORL,69,21,48,29.4,11243,2.13,1.12,1.01,4.38,4.65,4.11
2018,,Jonathan Isaac,ORL,27,11,16,19.8,7541.5,1.43,0.77,0.66,4.39,4.71,4.08
2018,,Jonathan Gibson,BOS,4,2,2,10,3869.5,0.73,0.38,0.35,4.37,4.59,4.17
2018,,Jonas Valanciunas,TOR,77,56,21,22.4,8412.3,1.59,0.86,0.74,4.28,4.55,4
2018,,Jonas Jerebko,UTA,74,45,29,15.3,5971.3,1.13,0.62,0.51,4.47,4.81,4.11
2018,,Jon Leuer,DET,8,5,3,17.1,7201.1,1.36,0.76,0.6,4.78,5.24,4.3
2018,,Johnny O'Bryant III,CHA,36,15,21,10.5,4081.9,0.77,0.43,0.35,4.42,4.7,4.15
2018,,Johnathan Motley,DAL,11,1,10,16,5708.2,1.08,0.58,0.5,4.07,4.39,3.75
2018,,John Wall,WAS,41,23,18,34.4,11198.3,2.12,1.09,1.03,3.71,3.83,3.59
2018,,John Holland,CLE,24,17,7,7.3,2634.8,0.5,0.27,0.23,4.14,4.3,3.96
2018,,John Henson,MIL,75,39,36,26,9331.7,1.77,0.89,0.88,4.11,4.31,3.92
2018,,John Collins,ATL,73,21,52,24.1,9472.7,1.79,0.97,0.82,4.48,4.85,4.11
2018,,Joffrey Lauvergne,SAS,55,30,25,9.7,3607,0.68,0.37,0.32,4.25,4.53,3.94
2018,,Joel Embiid,PHI,62,41,21,30.4,10754.2,2.04,1.08,0.96,4.04,4.38,3.72
2018,,Joel Bolomboy,MIL,6,3,3,6.3,2363.5,0.45,0.25,0.19,4.31,4.26,4.37
2018,,Joe Young,IND,53,28,25,10.5,4388.3,0.83,0.43,0.41,4.77,4.77,4.77
2018,,Joe Johnson,HOU,55,35,20,21.9,7814.7,1.48,0.82,0.66,4.08,4.36,3.77
2018,,Joe Ingles,UTA,82,48,34,31.4,11897.8,2.25,1.24,1.02,4.33,4.61,4.04
2018,,Joe Harris,BKN,77,26,51,25.3,10047.6,1.9,1.06,0.84,4.54,4.95,4.1
2018,,Jodie Meeks,WAS,77,41,36,14.5,5543.5,1.05,0.56,0.49,4.42,4.71,4.12
2018,,Joakim Noah,NYK,7,1,6,5.7,2291.6,0.43,0.23,0.2,4.5,4.87,4.14
2018,,Jimmy Butler,MIN,59,37,22,36.7,13699.7,2.59,1.4,1.2,4.26,4.4,4.1
2018,,Jerryd Bayless,PHI,38,21,17,23.9,9001.3,1.7,0.9,0.8,4.3,4.57,4.03
2018,,Jerian Grant,CHI,74,24,50,22.8,8691.9,1.65,0.87,0.78,4.35,4.7,4.01
2018,,Jeremy Lin,BKN,1,0,1,25.2,10502,1.99,1.07,0.92,4.8,5.02,4.54
2018,,Jeremy Lamb,CHA,80,36,44,24.6,9529.9,1.8,0.98,0.83,4.42,4.73,4.1
2018,,Jeremy Evans,ATL,1,0,1,5.3,2087,0.4,0.22,0.17,4.5,4.51,4.48
2018,,Jerami Grant,OKC,80,48,32,20.3,7802,1.48,0.78,0.7,4.37,4.71,4.06
2018,,Jeff Withey,DAL,10,2,8,3.9,1432.5,0.27,0.14,0.13,4.11,4.51,3.75
2018,,Jeff Teague,MIN,70,41,29,33,11185.6,2.12,1.14,0.98,3.86,4.02,3.69
2018,,Jeff Green,CLE,78,47,31,23.4,8254.7,1.56,0.8,0.76,4.02,4.18,3.87
2018,,Jayson Tatum,BOS,77,50,27,30.7,11245.5,2.13,1.14,0.99,4.18,4.47,3.89
2018,,Jaylen Morris,ATL,6,2,4,16.4,5926.5,1.12,0.59,0.53,4.33,4.45,4.21
2018,,Jaylen Brown,BOS,67,44,23,30.6,11777.7,2.23,1.16,1.07,4.39,4.55,4.22
2018,,Jawun Evans,LAC,48,24,24,16.2,6708,1.27,0.64,0.63,4.72,4.98,4.49
2018,,Jason Terry,MIL,51,27,24,15.9,6015.5,1.14,0.58,0.56,4.34,4.53,4.17
2018,,Jason Smith,WAS,33,15,18,8.6,3349.3,0.63,0.34,0.3,4.52,4.84,4.2
2018,,Jarrett Jack,NYK,61,25,36,24.8,9335.4,1.77,0.97,0.8,4.29,4.66,3.91
2018,,Jarrett Allen,BKN,70,24,46,20,7830.7,1.48,0.83,0.65,4.46,4.88,4.01
2018,,Jarell Martin,MEM,73,21,52,22.8,9058.4,1.72,0.93,0.78,4.56,4.87,4.25
2018,,Jarell Eddie,CHI,3,1,2,2.9,1071.3,0.2,0.11,0.09,4.2,4.08,4.32
2018,,Jared Dudley,PHX,48,7,41,14.3,5246.1,0.99,0.54,0.46,4.18,4.75,3.67
2018,,Jamil Wilson,LAC,15,6,9,18.3,6756.3,1.28,0.68,0.6,4.22,4.74,3.72
2018,,James Young,PHI,6,4,2,10.2,3701.5,0.7,0.36,0.34,4.14,4.34,3.94
2018,,James Webb III,BKN,10,1,9,12,4833.9,0.92,0.51,0.41,4.62,5.24,4.02
2018,,James Michael McAdoo,PHI,3,1,2,6,2533.7,0.48,0.26,0.22,4.69,5.36,4.02
2018,,James Johnson,MIA,72,36,36,26.6,9938.3,1.88,1.01,0.87,4.26,4.53,3.99
2018,,James Harden,HOU,72,59,13,35.4,11474.6,2.17,1.17,1,3.69,3.97,3.41
2018,,James Ennis III,DET,72,25,47,22.3,8639.4,1.64,0.87,0.76,4.42,4.65,4.19
2018,,Jamel Artis,ORL,15,4,11,18.6,7038.3,1.33,0.72,0.61,4.47,4.85,4.08
2018,,Jameer Nelson,DET,50,25,25,20.3,7406.9,1.4,0.76,0.64,4.17,4.57,3.77
2018,,Jameel Warney,DAL,3,1,2,8.9,3335.3,0.63,0.33,0.3,4.28,4.36,4.19
2018,,Jamal Murray,DEN,81,46,35,31.7,12617.9,2.39,1.33,1.06,4.6,5.14,4.07
2018,,Jamal Crawford,MIN,80,45,35,20.7,7306.9,1.38,0.75,0.63,4.03,4.22,3.83
2018,,Jalen Jones,DAL,16,3,13,11.3,4452.1,0.84,0.44,0.4,4.48,4.8,4.17
2018,,Jakob Poeltl,TOR,82,59,23,18.6,7587.6,1.44,0.75,0.68,4.68,4.99,4.38
2018,,Jake Layman,POR,35,22,13,4.6,1831.8,0.35,0.2,0.15,4.57,5,4.16
2018,,Jahlil Okafor,BKN,28,7,21,12.6,4673,0.89,0.49,0.39,4.23,4.51,3.93
2018,,Jae Crowder,UTA,80,52,28,26.1,9595.9,1.82,0.95,0.87,4.22,4.42,4.01
2018,,Jacob Wiley,BKN,4,1,3,8.1,3249.5,0.62,0.34,0.28,4.67,4.98,4.01
2018,,Jacob Pullen,PHI,3,2,1,2,737.7,0.14,0.07,0.07,3.95,4.27,3.67
2018,,Jack Cooley,SAC,7,4,3,12.5,4228.9,0.8,0.42,0.38,4.06,4.07,4.04
2018,,Jabari Parker,MIL,31,16,15,24,9189.3,1.74,0.91,0.83,4.42,4.75,4.08
2018,,Jabari Bird,BOS,13,8,5,8.8,3375.9,0.64,0.34,0.3,4.4,4.53,4.26
2018,,JaVale McGee,GSW,65,45,20,9.5,3530.9,0.67,0.34,0.33,4.31,4.57,4.05
2018,,JaMychal Green,MEM,55,11,44,28,10440.6,1.98,1.05,0.93,4.27,4.43,4.1
2018,,JaKarr Sampson,SAC,22,6,16,15.7,6068.6,1.15,0.62,0.53,4.43,4.71,4.14
2018,,JR Smith,CLE,80,49,31,28.1,10144.3,1.92,1,0.92,4.12,4.26,3.98
2018,,JJ Redick,PHI,69,45,24,30.2,12218.4,2.31,1.26,1.06,4.61,5.17,4.09
2018,,J.J. Barea,DAL,69,23,46,23.2,8822,1.67,0.96,0.71,4.32,4.78,3.82
2018,,Ivica Zubac,LAL,43,19,24,9.5,3584.7,0.68,0.36,0.32,4.38,4.9,3.92
2018,,Ivan Rabb,MEM,36,6,30,14.3,5464.8,1.03,0.55,0.48,4.36,4.56,4.14
2018,,Ish Smith,DET,82,39,43,24.9,10624.8,2.01,1.14,0.87,4.88,5.56,4.21
2018,,Isaiah Whitehead,BKN,15,2,13,10.8,4143.8,0.78,0.43,0.36,4.36,4.78,3.88
2018,,Isaiah Thomas,LAL,32,15,17,26.9,9703.8,1.84,1,0.84,4.25,4.67,3.84
2018,,Isaiah Taylor,ATL,67,18,49,17.4,6876.4,1.3,0.72,0.59,4.51,4.94,4.06
2018,,Isaiah Hicks,NYK,18,4,14,13.3,5198.2,0.98,0.52,0.47,4.45,4.72,4.18
2018,,Isaiah Canaan,PHX,20,9,11,21.1,8031.5,1.52,0.81,0.71,4.34,4.58,4.12
2018,,Iman Shumpert,SAC,14,9,5,19.7,7847.4,1.49,0.76,0.73,4.54,4.68,4.41
2018,,Ike Anigbogu,IND,11,5,6,2.7,971,0.18,0.11,0.08,4.03,4.49,3.93
2018,,Ian Mahinmi,WAS,77,42,35,14.9,5557.5,1.05,0.55,0.5,4.26,4.44,4.07
2018,,Ian Clark,NOP,74,43,31,19.6,7556.4,1.43,0.75,0.68,4.43,4.83,4.06
2018,,Henry Ellenson,DET,38,21,17,8.7,3660.3,0.69,0.39,0.31,4.85,5.55,4.22
2018,,Hassan Whiteside,MIA,54,30,24,25.3,8862.3,1.68,0.89,0.79,4,4.07,3.92
2018,,Harrison Barnes,DAL,77,24,53,34.2,13179.6,2.5,1.39,1.11,4.39,4.71,4.05
2018,,Guerschon Yabusele,BOS,32,23,9,7.3,2844.7,0.54,0.3,0.24,4.41,4.71,4.13
2018,,Greg Monroe,BOS,50,21,29,20.5,7205.6,1.36,0.72,0.65,4.01,4.11,3.91
2018,,Gorgui Dieng,MIN,79,45,34,16.9,6322.6,1.2,0.65,0.55,4.27,4.44,4.09
2018,,Gordon Hayward,BOS,1,0,1,5.3,2227,0.42,0.22,0.2,4.62,4.65,4.59
2018,,Goran Dragic,MIA,74,38,36,31.8,12635.1,2.39,1.32,1.07,4.54,4.91,4.14
2018,,Glenn Robinson III,IND,23,14,9,14.7,5836.2,1.11,0.6,0.51,4.57,4.81,4.31
2018,,Giannis Antetokounmpo,MIL,74,39,35,36.7,13292.2,2.52,1.33,1.19,4.15,4.61,3.74
2018,,Gian Clavell,DAL,7,0,7,9.1,3573.6,0.68,0.34,0.33,4.46,4.87,4.1
2018,,Gerald Green,HOU,41,33,8,22.7,8376.5,1.59,0.83,0.76,4.21,4.35,4.08
2018,,Georgios Papagiannis,POR,17,3,14,7.2,2693.1,0.51,0.27,0.24,4.3,4.7,3.91
2018,,Georges Niang,UTA,9,9,0,3.5,1360.3,0.26,0.14,0.12,4.55,4.73,4.37
2018,,George Hill,CLE,67,28,39,27.1,10146.9,1.92,1.05,0.88,4.28,4.52,4.03
2018,,Gary Payton II,LAL,23,10,13,9.6,4095.4,0.78,0.39,0.39,4.84,5.21,4.52
2018,,Gary Harris,DEN,67,37,30,34.4,12564.2,2.38,1.26,1.12,4.23,4.48,3.99
2018,,Garrett Temple,SAC,65,23,42,24.9,9442.8,1.79,0.97,0.81,4.35,4.61,4.09
2018,,Furkan Korkmaz,PHI,14,11,3,5.7,2328.6,0.44,0.25,0.19,4.68,4.89,4.44
2018,,Fred VanVleet,TOR,76,55,21,20,8222.8,1.56,0.83,0.73,4.69,5.09,4.3
2018,,Frank Ntilikina,NYK,77,27,50,22,8321.7,1.58,0.84,0.73,4.36,4.66,4.06
2018,,Frank Mason,SAC,52,17,35,18.9,6843.9,1.3,0.69,0.61,4.16,4.41,3.92
2018,,Frank Kaminsky,CHA,79,35,44,23.2,8825.4,1.67,0.95,0.72,4.33,4.85,3.8
2018,,Evan Turner,POR,79,48,31,25.7,9503.1,1.8,0.97,0.83,4.22,4.41,4.02
2018,,Evan Fournier,ORL,57,20,37,32.2,12448.3,2.36,1.26,1.1,4.4,4.8,4.02
2018,,Ersan Ilyasova,PHI,69,36,33,25.1,9479.3,1.8,0.97,0.83,4.31,4.71,3.92
2018,,Erik McCree,UTA,4,4,0,1.9,538.5,0.1,0.05,0.05,3.49,3.84,3.19
2018,,Eric Moreland,DET,67,32,35,12,4664.8,0.88,0.46,0.42,4.43,4.59,4.27
2018,,Eric Gordon,HOU,69,55,14,31.2,10755.6,2.04,1.07,0.97,3.94,4.23,3.66
2018,,Eric Bledsoe,MIL,74,40,34,31.4,11763.8,2.23,1.16,1.06,4.29,4.69,3.92
2018,,Enes Kanter,NYK,70,26,44,25.8,9724.5,1.84,0.97,0.87,4.31,4.46,4.15
2018,,Emmanuel Mudiay,NYK,64,29,35,19.4,7674.6,1.45,0.82,0.63,4.54,5.08,4
2018,,Emeka Okafor,NOP,26,16,10,13.6,4988,0.94,0.48,0.46,4.18,4.49,3.9
2018,,Elfrid Payton,PHX,63,13,50,28.7,11287.1,2.14,1.12,1.01,4.49,4.89,4.11
2018,,Ekpe Udoh,UTA,63,36,27,12.8,4752.7,0.9,0.47,0.43,4.23,4.4,4.05
2018,,Edmond Sumner,IND,1,0,1,2.2,846,0.16,0.08,0.08,5.54,5.93,5.2
2018,,Ed Davis,POR,78,48,30,18.9,7099.8,1.34,0.74,0.61,4.31,4.53,4.06
2018,,E'Twaun Moore,NOP,82,48,34,31.5,12388.8,2.35,1.22,1.12,4.49,4.88,4.14
2018,,Dwyane Wade,MIA,67,37,30,22.9,8358.7,1.58,0.85,0.73,4.16,4.53,3.79
2018,,Dwight Powell,DAL,79,23,56,21.2,8269.8,1.57,0.86,0.71,4.45,4.77,4.12
2018,,Dwight Howard,CHA,81,35,46,30.4,10823.7,2.05,1.11,0.94,4.06,4.39,3.73
2018,,Dwight Buycks,DET,29,10,19,14.7,5804.3,1.1,0.61,0.49,4.5,4.98,4.01
2018,,Dwayne Bacon,CHA,53,25,28,13.4,5045.5,0.96,0.51,0.45,4.29,4.53,4.04
2018,,Draymond Green,GSW,70,48,22,32.7,11443.7,2.17,1.12,1.05,4.02,4.44,3.66
2018,,Dragan Bender,PHX,82,21,61,25.2,9627,1.82,1.01,0.81,4.35,4.86,3.85
2018,,Doug McDermott,DAL,80,29,51,21.7,8978.7,1.7,0.93,0.77,4.72,5.1,4.33
2018,,Dorian Finney-Smith,DAL,21,4,17,21.4,8295.9,1.57,0.84,0.73,4.44,4.62,4.24
2018,,Donovan Mitchell,UTA,79,46,33,33.4,12329.9,2.34,1.29,1.05,4.22,4.56,3.87
2018,,Domantas Sabonis,IND,74,45,29,24.5,9357,1.77,0.94,0.83,4.38,4.71,4.06
2018,,Dirk Nowitzki,DAL,77,24,53,24.7,7784.4,1.47,0.81,0.67,3.6,3.79,3.4
2018,,Dion Waiters,MIA,29,15,14,30.8,11323,2.14,1.2,0.94,4.19,4.54,3.81
2018,,Dillon Brooks,MEM,82,22,60,28.7,10868.5,2.06,1.08,0.98,4.35,4.49,4.2
2018,,Deyonta Davis,MEM,62,16,46,15.2,5748.3,1.09,0.58,0.51,4.33,4.61,4.05
2018,,Dewayne Dedmon,ATL,61,18,43,24.9,9334.3,1.77,0.96,0.8,4.3,4.66,3.93
2018,,Devin Robinson,WAS,1,0,1,13.2,5224,0.99,0.55,0.44,4.57,4.16,4.04
2018,,Devin Harris,DEN,71,33,38,18.9,6844.9,1.3,0.72,0.57,4.19,4.58,3.79
2018,,Devin Booker,PHX,54,16,38,34.5,13001.7,2.46,1.36,1.11,4.3,4.73,3.86
2018,,Derrick Williams,LAL,2,1,1,4.3,1533.5,0.29,0.15,0.14,4.3,4.71,3.96
2018,,Derrick White,SAS,17,7,10,8.2,3310.8,0.63,0.34,0.28,4.54,5.02,4
2018,,Derrick Walton Jr.,MIA,16,8,8,9.2,3528.7,0.67,0.37,0.3,4.36,4.64,4.05
2018,,Derrick Rose,MIN,25,15,10,16.8,6611,1.25,0.65,0.6,4.5,4.82,4.2
2018,,Derrick Jones Jr.,MIA,20,9,11,12.3,4713.9,0.89,0.47,0.43,4.35,4.45,4.2
2018,,Derrick Favors,UTA,77,46,31,28,10662,2.02,1.1,0.92,4.37,4.58,4.13
2018,,Denzel Valentine,CHI,77,26,51,27.2,10905.4,2.07,1.11,0.96,4.59,5.08,4.12
2018,,Dennis Smith Jr.,DAL,69,22,47,29.7,11362.5,2.15,1.2,0.95,4.38,4.72,4.01
2018,,Dennis Schroder,ATL,66,21,45,30.9,12152.7,2.3,1.26,1.04,4.48,4.87,4.08
2018,,Demetrius Jackson,PHI,15,12,3,5.3,2215.9,0.42,0.23,0.19,4.71,5.04,4.37
2018,,Delon Wright,TOR,69,49,20,20.8,8375.2,1.59,0.85,0.73,4.61,4.98,4.25
2018,,Dejounte Murray,SAS,81,47,34,21.5,9194.3,1.74,0.96,0.78,4.87,5.26,4.46
2018,,DeMarre Carroll,BKN,71,24,47,29.9,10772.4,2.04,1.09,0.95,4.11,4.26,3.95
2018,,DeMarcus Cousins,NOP,48,27,21,36.2,11433.1,2.17,1.11,1.05,3.6,3.77,3.44
2018,,DeMar DeRozan,TOR,80,57,23,33.9,12620,2.39,1.33,1.06,4.24,4.71,3.77
2018,,DeAndre' Bembry,ATL,25,8,17,18.1,6937.1,1.31,0.68,0.63,4.37,4.63,4.15
2018,,DeAndre Liggins,NOP,57,34,23,12.4,4752.5,0.9,0.44,0.46,4.46,4.41,4.51
2018,,DeAndre Jordan,LAC,77,39,38,31.5,10787.7,2.04,1.07,0.97,3.91,4.08,3.73
2018,,De'Aaron Fox,SAC,73,24,49,27.8,10886.2,2.06,1.12,0.94,4.47,4.84,4.1
2018,,Davon Reed,PHX,21,2,19,11.5,4677.9,0.89,0.49,0.4,4.63,5.22,4.06
2018,,Davis Bertans,SAS,77,43,34,14.1,5734.3,1.09,0.62,0.47,4.64,5.32,3.98
2018,,David West,GSW,73,52,21,13.7,4588.4,0.87,0.44,0.42,3.83,4.02,3.66
2018,,David Stockton,UTA,3,3,0,3.1,1214.7,0.23,0.13,0.1,4.52,4.46,4.61
2018,,David Nwaba,CHI,70,26,44,23.5,9596.1,1.82,0.93,0.89,4.65,4.95,4.38
2018,,Darrun Hilliard,SAS,14,8,6,6.8,2582.6,0.49,0.27,0.22,4.3,4.8,3.92
2018,,Darren Collison,IND,69,39,30,29.3,10985,2.08,1.09,0.99,4.29,4.53,4.07
2018,,Darrell Arthur,DEN,19,12,7,7.4,2691.5,0.51,0.27,0.23,4.2,4.42,3.96
2018,,Darius Miller,NOP,82,48,34,23.7,8366.9,1.58,0.83,0.75,4.05,4.41,3.71
2018,,Dario Saric,PHI,77,49,28,29.6,11495,2.18,1.16,1.01,4.43,4.89,4.01
2018,,Danuel House,PHX,23,6,17,17.5,7002.9,1.33,0.73,0.59,4.56,5,4.11
2018,,Dante Exum,UTA,14,10,4,16.8,6885.2,1.3,0.69,0.61,4.7,5.24,4.21
2018,,Dante Cunningham,BKN,73,34,39,21.4,8722.2,1.65,0.89,0.76,4.64,5.04,4.25
2018,,Danny Green,SAS,70,40,30,25.6,10363.8,1.96,1.1,0.87,4.62,4.93,4.28
2018,,Danilo Gallinari,LAC,21,11,10,32,11787.7,2.23,1.22,1.01,4.21,4.58,3.84
2018,,Daniel Theis,BOS,60,41,19,14.9,5600.1,1.06,0.56,0.5,4.29,4.46,4.12
2018,,Daniel Hamilton,OKC,6,5,1,4.6,1759.3,0.33,0.19,0.15,4.34,4.55,4.1
2018,,Damyean Dotson,NYK,44,11,33,10.8,4348.1,0.82,0.44,0.38,4.6,4.99,4.24
2018,,Damion Lee,ATL,15,4,11,27,11180.5,2.12,1.15,0.97,4.74,5.02,4.44
2018,,Damien Wilkins,IND,19,10,9,8,2915.9,0.55,0.29,0.26,4.15,4.2,4.01
2018,,Damian Lillard,POR,73,44,29,36.6,13317.7,2.52,1.41,1.11,4.16,4.53,3.77
2018,,Damian Jones,GSW,15,7,8,5.9,2237,0.42,0.22,0.2,4.35,4.4,4.15
2018,,Dakari Johnson,OKC,30,21,9,4.9,1753.9,0.33,0.17,0.16,4.12,4.33,3.92
2018,,D.J. Wilson,MIL,22,12,10,3.2,1243,0.24,0.12,0.11,4.4,4.49,4.13
2018,,D.J. Augustin,ORL,75,23,52,23.5,8879.3,1.68,0.94,0.74,4.36,4.75,3.94
2018,,D'Angelo Russell,BKN,48,16,32,25.7,9574.4,1.81,0.99,0.82,4.25,4.53,3.96
2018,,Cristiano Felicio,CHI,55,13,42,17.8,6978.9,1.32,0.68,0.64,4.49,4.77,4.24
2018,,Courtney Lee,NYK,75,26,49,30.4,11548.6,2.19,1.15,1.03,4.33,4.48,4.18
2018,,Cory Joseph,IND,82,48,34,26.9,10947.9,2.07,1.09,0.99,4.64,4.86,4.43
2018,,Corey Brewer,OKC,72,32,40,16.8,6492.6,1.23,0.61,0.62,4.41,4.52,4.3
2018,,Cole Aldrich,MIN,21,14,7,2.3,837.3,0.16,0.09,0.07,4.07,4.65,3.74
2018,,Cody Zeller,CHA,33,14,19,19,7266.3,1.38,0.75,0.63,4.36,4.7,4.04
2018,,Clint Capela,HOU,74,62,12,27.5,10212.9,1.93,1.04,0.9,4.23,4.53,3.94
2018,,Chris Paul,HOU,58,50,8,31.8,10789.6,2.04,1.12,0.92,3.86,4.2,3.51
2018,,Chris McCullough,WAS,19,11,8,4.7,1911.4,0.36,0.2,0.16,4.64,5.12,4.13
2018,,Chris Boucher,GSW,1,1,0,1.3,445,0.08,0.05,0.03,4.54,6.51,0
2018,,Chinanu Onuaku,HOU,1,0,1,21.6,7181,1.36,0.7,0.66,3.91,4.05,3.79
2018,,Cheick Diallo,NOP,52,29,23,11.2,4311.9,0.82,0.44,0.38,4.53,5.01,4.08
2018,,Charles Cooke,NOP,13,8,5,2.9,1127.9,0.21,0.12,0.1,4.41,4.58,4.23
2018,,Channing Frye,LAL,53,28,25,13.1,4620.5,0.88,0.46,0.41,4,4.36,3.67
2018,,Chandler Parsons,MEM,36,12,24,19.2,7043.8,1.33,0.73,0.6,4.18,4.53,3.84
2018,,Cedi Osman,CLE,61,35,26,11,4339.1,0.82,0.42,0.4,4.48,4.65,4.34
2018,,Carmelo Anthony,OKC,76,46,30,32,10597.5,2.01,1.05,0.95,3.77,4.11,3.46
2018,,Caris LeVert,BKN,69,24,45,26.1,9940.8,1.88,1.02,0.86,4.35,4.61,4.07
2018,,Cameron Payne,CHI,25,7,18,23.3,8798.8,1.67,0.89,0.78,4.36,4.88,3.87
2018,,Caleb Swanigan,POR,27,16,11,7,2647.3,0.5,0.27,0.23,4.3,4.42,4.16
2018,,CJ Miles,TOR,70,50,20,19.1,6933.4,1.31,0.71,0.6,4.17,4.55,3.79
2018,,CJ McCollum,POR,81,48,33,36.1,14211.6,2.69,1.52,1.18,4.51,4.95,4.04
2018,,C.J. Williams,LAC,38,17,21,18.6,7334.5,1.39,0.73,0.66,4.49,4.81,4.19
2018,,Buddy Hield,SAC,80,27,53,25.3,10305.9,1.95,1.05,0.91,4.66,4.99,4.33
2018,,Bryn Forbes,SAS,80,46,34,19,7369.3,1.4,0.76,0.64,4.43,4.74,4.11
2018,,Bruno Caboclo,SAC,12,4,8,8.9,3564,0.68,0.36,0.31,4.58,4.85,4.31
2018,,Brook Lopez,LAL,74,34,40,23.4,8324.3,1.58,0.8,0.77,4.13,4.35,3.93
2018,,Brice Johnson,MEM,18,2,16,5.4,1917.6,0.36,0.19,0.17,4.13,4.65,3.77
2018,,Briante Weber,MEM,18,8,10,13.1,5538.2,1.05,0.56,0.49,4.81,5.03,4.53
2018,,Brandon Paul,SAS,64,38,26,9,3553.7,0.67,0.37,0.31,4.49,4.91,4.06
2018,,Brandon Jennings,MIL,14,8,6,14.7,5719.6,1.08,0.58,0.51,4.46,4.74,4.18
2018,,Brandon Ingram,LAL,59,27,32,33.5,12966.2,2.46,1.32,1.13,4.42,4.91,3.96
2018,,Brandan Wright,HOU,28,11,17,13.6,4891.4,0.93,0.49,0.43,4.09,4.34,3.84
